YEAR,STATE,ZIPCODE,N1,MARS2,A00100,N04470,A04470,N18425,A18425,N04800,A04800,N07100,A07100
2011,DC,0,324447,50370,25360804,130796,4111877,119907,1303595,266334,18372715,92284,132831
2011,DC,20001,21960,2567,1397088,8293,203827,7735,60767,18549,1009744,5489,6249
2011,DC,20002,28977,4099,1735292,10860,265452,10049,74052,23714,1208744,7876,8303
2011,DC,20003,14251,3045,1334307,6919,206530,6460,68039,12925,1009982,3907,3746
2011,DC,20004,1059,217,163592,711,26302,664,10115,1007,130535,283,1183
2011,DC,20005,8002,827,698772,3433,93081,3176,34839,7245,546065,1852,3569
2011,DC,20006,1000,123,91658,317,10945,213,3310,822,69395,219,748
2011,DC,20007,12969,3396,2359083,6747,424048,6057,154711,11725,1841331,4380,18164
2011,DC,20008,17138,3721,2596796,8321,421441,7637,164828,15792,2045240,5120,10520
2011,DC,20009,30753,3490,2452829,12280,317431,11540,117375,27422,1890008,7522,9295
2011,DC,20010,17729,2315,925780,5818,126547,5384,34604,14743,639017,4953,5196
2011,DC,20011,34978,5417,1673876,13951,302711,12795,63489,27950,1046722,10190,11129
2011,DC,20012,7435,1836,577295,3805,113938,3448,29106,6269,399879,2148,2272
2011,DC,20015,7799,3363,1436394,5130,274012,4667,93211,6931,1101348,3046,4180
2011,DC,20016,14476,5042,3024487,9046,538996,8223,210363,12784,2379014,5431,13848
2011,DC,20017,8959,1471,477436,4097,90847,3706,19734,7317,308657,2388,2636
2011,DC,20018,8821,1339,439292,3939,89348,3604,17480,6990,271272,2437,2668
2011,DC,20019,26647,1901,865175,7616,143711,6982,23442,18298,445493,7931,8767
2011,DC,20020,24743,1903,874607,7247,149427,6661,26789,17004,472797,7007,7668
2011,DC,20024,7306,882,464545,3005,65152,2741,19200,6140,339484,1607,1558
2011,DC,20032,16187,1693,517268,3678,68146,3273,11197,10975,265274,5161,5518
2011,DC,20036,3777,392,432617,1740,62173,1589,24539,3506,317210,932,2162
2011,DC,20037,5316,827,628004,2639,94581,2289,36090,4730,499106,1481,2789
2011,DC,99999,4165,504,194619,1204,23223,1014,6320,3496,136391,924,664
2011,MD,0,2801555,958856,196896143,1358700,37798396,1244051,10369804,2275174,131507846,950279,1130746
2011,MD,20601,11785,4026,768656,6575,173724,6109,38543,9869,483034,4067,4962
2011,MD,20602,11994,3274,667192,6132,145162,5690,30787,9925,402609,4531,5723
2011,MD,20603,13443,4793,988711,7999,229296,7405,50871,11565,628359,5214,6664
2011,MD,20606,147,69,9799,76,1804,71,493,124,6555,45,44
2011,MD,20607,5288,1942,434862,3476,115524,3218,24353,4535,273177,1736,2038
2011,MD,20608,414,156,26729,222,6193,204,1337,355,16852,115,134
2011,MD,20609,509,233,32964,244,6610,225,1651,416,21419,141,139
2011,MD,20611,535,228,36699,273,7111,259,1894,451,24196,166,187
2011,MD,20613,6613,2271,475215,3954,121625,3670,24950,5631,292598,2152,2594
2011,MD,20615,200,88,14344,101,2989,89,697,158,9476,56,53
2011,MD,20616,2950,898,181520,1639,42667,1549,8980,2485,110158,1064,1358
2011,MD,20617,494,222,39599,297,7994,262,2193,416,27219,140,144
2011,MD,20618,338,159,20608,158,3598,150,887,279,13257,98,117
2011,MD,20619,5317,2225,406179,2769,66529,2501,19648,4673,283164,2004,2465
2011,MD,20620,700,269,48234,330,7839,302,2443,574,33215,219,253
2011,MD,20621,708,291,40641,347,8024,313,2108,570,25606,205,248
2011,MD,20622,2235,984,150861,1150,31437,1045,7767,1823,97338,686,774
2011,MD,20623,1487,505,115705,975,30527,916,6480,1305,71803,533,663
2011,MD,20624,595,253,38867,292,6967,273,1985,508,25966,206,271
2011,MD,20626,178,80,15039,92,2398,84,673,154,10465,62,55
2011,MD,20628,300,145,21777,162,3857,147,1016,256,14784,96,110
2011,MD,20630,213,115,25109,120,4148,114,1563,193,18806,73,46
2011,MD,20632,230,95,14001,122,3183,105,704,181,8563,82,98
2011,MD,20634,3424,1316,230373,1685,39848,1536,11135,2875,154808,1262,1553
2011,MD,20636,4791,2260,380177,2617,71570,2413,20410,4081,259074,1676,1953
2011,MD,20637,2733,1264,217555,1607,49703,1478,11917,2295,142554,830,940
2011,MD,20639,6957,3373,594215,4070,125085,3728,32235,5879,401368,2329,2917
2011,MD,20640,4715,1487,270668,2268,54976,2082,11787,3943,167119,1594,1822
2011,MD,20645,401,229,41460,249,8458,229,2202,336,28779,147,163
2011,MD,20646,9412,3908,715277,5186,147338,4780,38053,7919,478490,2969,3250
2011,MD,20650,5954,2907,510994,3280,92691,2982,28106,5022,356247,2174,2548
2011,MD,20653,10374,3593,622973,4222,99684,3819,26971,8346,410876,3626,4042
2011,MD,20657,8971,3669,569505,4831,112391,4385,27394,7318,367738,3192,4047
2011,MD,20658,582,203,33759,288,6628,260,1526,470,21738,152,167
2011,MD,20659,10629,4865,697629,5706,140875,5277,35971,8904,448654,3591,4554
2011,MD,20662,1244,501,69874,599,14205,541,3297,997,43176,348,395
2011,MD,20664,1334,502,91120,675,19001,608,5340,1078,53291,409,458
2011,MD,20667,288,112,17012,118,2766,114,765,225,11079,92,93
2011,MD,20670,538,259,30194,126,2993,103,876,484,18833,322,353
2011,MD,20674,376,146,26125,198,5218,179,1246,317,17448,112,120
2011,MD,20675,882,365,66504,477,13192,432,3479,758,44734,266,258
2011,MD,20676,1582,747,122186,956,27356,893,6493,1311,80201,572,661
2011,MD,20677,1160,564,121702,700,25187,651,5988,982,86088,341,373
2011,MD,20678,5283,1989,333323,2627,67712,2348,16187,4249,214412,1684,1914
2011,MD,20680,436,199,27307,194,4381,162,1173,356,18250,124,126
2011,MD,20684,540,260,39558,294,7527,274,2019,451,26705,181,191
2011,MD,20685,3174,1395,240505,1827,50963,1650,13116,2671,159307,1083,1367
2011,MD,20686,202,96,20729,131,4222,116,1175,184,14908,68,71
2011,MD,20687,161,61,10056,81,1841,69,465,128,6682,40,41
2011,MD,20688,1160,475,94886,645,17620,554,4270,1019,67083,315,244
2011,MD,20689,829,414,66170,483,13801,449,3518,700,44110,283,312
2011,MD,20690,402,198,41055,238,7688,219,2371,344,29697,122,155
2011,MD,20692,570,265,41292,293,7861,265,2259,482,27661,170,175
2011,MD,20693,578,247,42485,316,8700,284,2130,481,28260,165,203
2011,MD,20695,4470,1658,327699,2724,77611,2507,16831,3835,208081,1480,1800
2011,MD,20705,13411,3836,714167,6755,161024,6197,34343,10700,422929,4726,5334
2011,MD,20706,19884,4713,944801,9873,228822,9021,42212,15455,520066,7179,8556
2011,MD,20707,17430,4729,1023102,9095,220478,8381,49832,14424,641247,5637,6600
2011,MD,20708,13102,3026,682499,5750,135139,5348,30453,10583,413395,4960,5873
2011,MD,20710,4209,682,145086,1479,27143,1390,4676,3124,71803,1527,1660
