ZIPCODE,State,City,1/31/1996,2/29/1996,3/31/1996,4/30/1996,5/31/1996,6/30/1996,7/31/1996,8/31/1996,9/30/1996,10/31/1996,11/30/1996,12/31/1996,1/31/1997,2/28/1997,3/31/1997,4/30/1997,5/31/1997,6/30/1997,7/31/1997,8/31/1997,9/30/1997,10/31/1997,11/30/1997,12/31/1997,1/31/1998,2/28/1998,3/31/1998,4/30/1998,5/31/1998,6/30/1998,7/31/1998,8/31/1998,9/30/1998,10/31/1998,11/30/1998,12/31/1998,1/31/1999,2/28/1999,3/31/1999,4/30/1999,5/31/1999,6/30/1999,7/31/1999,8/31/1999,9/30/1999,10/31/1999,11/30/1999,12/31/1999,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2001,2/28/2001,3/31/2001,4/30/2001,5/31/2001,6/30/2001,7/31/2001,8/31/2001,9/30/2001,10/31/2001,11/30/2001,12/31/2001,1/31/2002,2/28/2002,3/31/2002,4/30/2002,5/31/2002,6/30/2002,7/31/2002,8/31/2002,9/30/2002,10/31/2002,11/30/2002,12/31/2002,1/31/2003,2/28/2003,3/31/2003,4/30/2003,5/31/2003,6/30/2003,7/31/2003,8/31/2003,9/30/2003,10/31/2003,11/30/2003,12/31/2003,1/31/2004,2/29/2004,3/31/2004,4/30/2004,5/31/2004,6/30/2004,7/31/2004,8/31/2004,9/30/2004,10/31/2004,11/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020
20002,DC,Washington,134896,133548,132798,130924,129834,128888,128898,128490,127936,126910,126668,126615,126572,126664,127009,127818,128046,127983,126710,125903,125593,125882,125949,126000,126905,128137,128533,128674,128491,129293,130222,131917,133484,135886,136886,137502,136527,136025,136202,137178,138509,138917,140058,140871,141799,141961,143192,145341,148422,151376,153669,154853,156493,158560,160323,160771,161462,161660,162142,162543,163460,164391,165570,167007,168013,169194,170320,172676,174329,176786,178705,180336,181499,182501,184090,186199,188646,190911,193755,196499,199720,202315,206013,210373,214825,219216,222588,225855,228864,232213,234955,237905,240756,244487,247295,250648,254978,258986,263409,267463,272933,278498,284300,289378,295756,303052,310587,315822,318563,323486,329221,336540,342009,347856,354980,362922,369461,374044,378310,383675,389526,392999,395930,397512,399337,399474,398209,396635,395447,393669,392256,390493,390002,389922,390571,390902,391147,391522,392337,393362,392782,392223,390522,389783,388553,386753,383730,380705,377814,375242,372108,368413,366509,365537,363455,358829,355346,354627,354534,352457,348975,345704,342902,340881,339245,338559,340856,345282,348259,348330,347196,348617,352286,356147,358734,360310,360067,358185,354807,352623,349780,348478,347181,348191,347916,347719,347883,348790,350038,350878,351562,351410,353638,355883,360618,361695,363051,365631,370020,375492,381299,389944,399302,408604,416447,423132,428371,435625,445414,453808,460327,465362,472137,477928,483601,488532,494054,500385,507288,513322,517048,520073,524269,527969,529579,529108,530330,532673,536608,539962,542751,544631,547082,550611,554094,557941,562328,568720,571476,573802,573193,573810,575251,578642,582391,584533,586340,588993,591843,593183,596984,600438,605138,608591,612496,614597,615174,615191,616528,617279,619183,621871,624550,628169,630462,635937,636262,638389,640910,648212,655313,659891,663958,668193,672298,674165,674721,673276,676513,677816,680918,680507,681383,682465,683276,683737,683742,684876,687279,689613,690602,692280,692529,693117
20009,DC,Washington,146980,146401,146087,145432,145008,144691,144223,144109,143788,143603,143492,143422,143674,143964,144333,144605,144668,144901,145287,145369,145725,146127,146637,147402,148210,149277,150241,151223,152269,153019,154181,155516,157124,158605,159960,161049,161610,162438,163305,164618,166435,168677,171127,173300,175799,178712,181990,185529,189115,192684,196265,199916,203260,206360,208859,211483,213671,215129,216749,218663,221488,223881,226648,229638,233224,236997,241344,246040,250595,255236,259357,263263,267107,271433,276041,280377,284252,288337,292172,296383,300597,304949,310165,315781,320803,325192,328459,332197,335761,338891,341440,343469,345619,348613,351224,354830,359571,364333,369393,373602,379639,386397,394259,401270,409619,418988,427891,434053,437173,442140,448248,456025,461404,466818,472450,479663,484848,487804,490736,494241,498465,500053,501218,501166,501481,500283,497583,493921,490684,487218,484208,482094,480879,480909,480529,480718,480798,481252,483225,484950,487116,489101,491490,492741,492375,491445,490786,490423,489773,488169,485246,482989,481425,482013,480754,479256,480002,481472,481543,478109,473438,471394,470665,471045,471553,470482,470704,471324,471746,471329,471453,475312,481415,486030,487484,487514,485134,483116,480479,480481,480496,482281,482894,482580,480703,479123,479257,479165,481111,482624,484557,483864,484339,483754,485719,485279,485664,486660,489448,492945,496215,501113,506155,511135,512659,512836,512627,516528,523421,529626,533418,536286,538631,540178,540560,542172,545342,550308,555321,559001,559175,557982,557882,557971,557463,556259,557091,558015,559939,561258,562373,562144,561939,562957,564779,567474,571119,574573,575628,575124,573804,573068,573101,574930,578019,581038,582246,583241,583198,583181,585794,590319,596596,600824,603773,603888,602789,601285,602041,602420,603746,605587,606628,607484,605846,607691,606527,606812,607181,609973,613353,614249,615266,615797,616900,616600,615151,612894,614760,616462,619381,619020,618824,618789,619345,619978,620046,620848,623311,625050,625248,625336,624636,625364
21234,MD,Parkville,112313,112364,112414,112558,112697,112973,113140,113158,113107,113150,113372,113503,113455,113436,113442,113546,113621,113496,113519,113780,114108,114187,113855,113543,113519,113503,113554,113449,113359,113311,113193,113071,112974,113114,113422,113862,114294,114711,115044,115240,115548,115802,116187,116399,116669,116816,117265,117803,118179,118645,119062,119560,119790,119966,120263,120707,121154,121769,122083,122272,122341,122268,122241,122660,123324,124195,124707,125304,125884,126276,126586,126993,127802,128891,130167,131078,131925,132563,133527,134648,135635,136603,137825,139328,140800,142175,143472,144670,145816,147341,149113,150384,151927,153735,155986,157813,159610,161391,163061,165107,167218,169218,170611,172785,175796,178929,181770,184512,187391,189853,192730,195399,198797,201986,205879,209833,212537,215321,217793,220811,223263,226307,228729,231910,234255,237340,239650,241117,242479,243664,244560,245212,245915,246212,247084,247359,248809,249081,249470,249387,249200,248237,247344,246641,246513,246505,245689,244185,241199,238472,235570,233603,232557,232147,231394,229963,227815,225467,223280,221234,219202,217476,216354,216048,215039,214276,213734,213407,212729,211936,211403,211521,211879,212023,211829,209998,208178,205305,202854,200235,199077,198338,197242,195206,193413,192330,191030,190045,188894,188895,188660,189165,188460,187703,187066,187129,186920,186016,185437,185433,185824,185710,185466,185003,185201,185837,187185,188339,190014,191626,193838,195461,196669,197196,198009,198537,198951,198868,198057,198072,197062,196842,195434,194377,193463,193529,194294,194849,195157,195362,195984,195440,195399,194775,194980,195601,196723,197823,197513,197249,197266,197597,197638,197664,198311,199208,200571,201189,201551,200940,201252,201841,202572,202997,203400,204771,205908,206954,206189,205510,204882,205769,206369,207240,207766,208382,209337,210516,211456,211927,212810,214038,215595,216161,216892,217086,217685,218272,217949,217096,216045,215651,215449,215205,214683,214365,213923,213711,213354,213046,213291,213659,214355,214851
23464,VA,Virginia Beach,115670,115289,115095,114682,114368,114163,114116,114072,113941,113706,113641,113696,114256,114658,115070,115007,115312,115680,116219,116558,116862,117124,117429,117643,117131,117282,117297,118149,118257,118161,117490,117338,117707,118597,119210,119749,120377,120665,121060,121263,121832,122530,123534,124457,125056,125480,125809,126345,127029,127794,128530,129113,129637,130029,130320,130254,130389,130422,130910,131335,131931,132552,133117,133586,134053,134587,135446,136333,137204,137856,138422,138843,139404,140042,140877,141750,142590,143480,144223,145318,146450,148070,149629,151369,152976,154449,155881,157172,158535,160139,161756,163227,164679,166495,168885,171413,173976,176829,179683,183432,186939,190704,194277,198466,202297,205619,208661,212529,216863,220719,224441,228012,233491,238507,243589,247730,253024,257964,262540,265869,268472,270681,273280,274613,275128,275117,276790,278553,279480,279976,280251,280014,279463,280693,282514,284794,285100,285823,285252,284911,284082,283822,282796,282173,281951,280955,278648,276101,274499,272830,271247,269184,267623,266201,265555,264451,262774,260294,258304,256646,255484,254845,254100,253603,252771,251677,250903,250808,251507,252213,252783,252862,252826,252130,250028,248116,246424,245736,244471,242822,240214,237916,236338,235830,234461,232774,232670,233551,233939,233022,231888,231634,231421,231653,231024,230636,231019,231963,232437,231158,230602,230287,231044,231185,232429,233392,234572,234345,234003,233393,233705,234702,235680,236966,237828,238605,239326,239617,240152,240842,241493,242565,242241,242261,241993,242370,242284,242167,241473,242271,242880,243618,243762,243867,244510,244761,245388,245259,245770,246614,247567,246854,245750,245230,245601,245821,246658,248200,249484,250393,250662,250523,250774,251420,252867,253878,254981,255861,255777,254745,253724,253485,253816,254757,255283,255824,255768,256207,256630,257355,258282,259483,260317,260918,261548,261879,261718,261944,262586,263149,262929,263157,263998,265112,266179,267209,268096,269026,270497,271684,272768,273826,275544,276891
23462,VA,Virginia Beach,92745,92587,92543,92441,92310,92094,91936,91857,91865,91841,91840,91886,92054,92259,92464,92553,92805,93073,93352,93455,93559,93749,94076,94329,94437,94631,94667,94696,94580,94759,94901,95270,95535,95792,95876,96026,96209,96333,96590,97064,97661,98180,98672,99131,99535,99979,100321,100742,101174,101686,102151,102628,103046,103394,103645,103671,103884,104017,104454,104778,105177,105602,106047,106327,106506,106641,107104,107555,107972,108229,108510,108768,109159,109629,110207,110791,111399,112116,112745,113667,114669,116061,117305,118651,119874,121035,122122,123188,124351,125625,126814,127868,128925,130287,132158,134156,136247,138471,140799,143775,146546,149559,152398,155709,158683,161233,163589,166561,169840,172791,175562,178198,182294,186069,189982,193265,197500,201448,205028,207743,210025,212047,214348,215737,216508,216857,218486,220256,221353,222437,223421,224004,223995,225343,227202,229489,230196,231466,231695,231952,231712,231598,230921,230436,230561,229961,228357,226496,225588,224399,223198,221561,220302,219134,218554,217722,216502,214750,213380,211981,210787,209793,209109,208749,208293,207486,206705,206422,206514,206684,206650,206649,206384,205887,203949,202160,200421,199667,198875,197848,196202,194471,193085,192188,190858,189199,188674,188953,189104,188449,187054,186104,185242,185144,184834,184661,185020,185630,186093,185159,184739,184241,184850,184916,185645,186067,186581,186360,186023,185645,186062,186641,187058,187510,188108,188818,189475,189562,189618,190003,190224,191048,190395,190470,190100,190660,190524,190475,190083,191043,192052,192740,193254,193488,194444,194934,195833,195852,196105,196699,197527,197028,196005,195601,195762,195671,195801,196349,196961,197400,197785,197758,197999,198448,199557,200230,201020,201858,202294,202270,202296,202736,203319,203958,204242,204640,204804,205254,205637,206199,206962,207763,207850,207949,208037,208449,208415,208746,209291,209915,209817,209989,210385,211219,212293,213289,214294,215168,216573,217719,218795,219854,221593,223143
20906,MD,Silver Spring,163555,163184,162851,162264,161656,161237,160868,160889,160924,161131,161136,161541,161405,161393,161029,161139,161436,161618,162008,161965,161886,161646,161781,161451,161690,161860,162737,163033,163314,163495,163360,163188,162966,162845,162814,163108,163853,164786,165590,166258,166684,167183,167731,168490,170024,171548,172885,173516,174053,174468,174830,175329,176271,177381,178900,180242,181145,182106,183578,185644,187391,189081,190710,192605,194432,196254,198067,199928,201826,203633,205313,207250,209468,211580,213784,216439,219733,222964,226515,229852,233166,236404,240007,243443,246681,250336,254455,257830,260570,263526,265802,268901,272198,276830,280567,284401,287587,291047,294063,297656,301117,305297,310337,315377,321050,324689,329818,333647,339852,346116,351980,358466,364194,370603,376537,382373,387054,392453,395929,401268,404608,407755,411901,414793,418428,419998,421138,421943,421744,421609,421655,421142,420803,420011,418491,416845,415739,414267,412374,409449,407443,404511,401247,396801,391626,385355,378729,372142,364800,356543,349122,341748,334891,327722,320934,314619,308563,304157,298895,293778,288323,285689,283520,282586,281136,280260,279100,278825,278799,276731,276301,276600,279354,280009,278985,276275,273426,271250,270542,269651,269215,270507,271188,270478,267299,264354,262759,262409,262511,262710,262093,261193,259429,257578,256458,257149,258414,260601,262679,264998,266747,267988,268900,270922,273748,276436,278914,280152,282477,284151,286114,287963,290695,293839,297023,298275,299394,300349,301294,302686,303226,304102,304577,304858,304955,304222,303934,304009,304350,305813,307259,308453,308385,308172,308184,307995,307673,308096,308867,311114,312220,311776,310268,309818,311487,313207,314240,315172,316878,318424,319224,318941,320614,322253,324889,325491,325964,326388,327728,329372,330389,331546,333130,334547,333968,335149,336386,339331,340613,341852,343497,344812,346159,346290,346255,347126,349707,350893,350388,349444,349966,351430,351663,352019,352381,353600,354865,355679,355770,356067,357438,358683,359620,359863
20011,DC,Washington,154208,153301,152589,151585,151007,150795,150620,150125,149676,148946,148743,148400,148042,148194,148788,149406,149438,149352,149992,150613,151026,150919,151086,151702,153032,153763,153923,153358,153381,153120,151656,151223,151435,153645,154288,154598,153820,154067,154753,155980,156757,157557,159105,160720,162159,163095,164638,166543,168694,169930,170988,171855,173437,175415,177030,178000,178452,177906,177532,176989,177413,177901,179055,180478,181763,182537,183950,185852,188034,189757,191160,193258,195113,197611,198901,200502,201723,203913,205781,207162,208861,211908,216652,221144,225002,228008,231586,235309,239135,242023,244191,247354,250401,253484,255058,256628,259829,263336,267222,270364,275004,280920,287951,293269,298787,305186,312263,318102,321438,326616,332722,340165,345631,350999,356939,364093,371307,376955,382380,388834,395832,400459,403888,406341,409387,410969,411283,412506,412863,412475,410758,410247,411241,413368,414975,416230,416665,416600,416701,415834,415322,414786,414195,411796,407786,403194,398810,394898,391967,389192,386126,381671,378224,376071,373234,368500,365657,364624,363726,359684,353681,349215,345581,343809,341297,337873,337729,339878,341404,339619,338100,339853,344366,347670,349170,349764,349326,350105,348987,348992,346817,346205,344644,344021,341819,339459,337310,335034,333452,331160,329048,326654,328989,332419,337400,337596,338162,340570,345796,352150,358720,366087,372803,379548,380339,380504,379364,386000,394047,401336,407339,413715,421625,428958,437198,444532,454487,463697,474301,481647,487882,492575,496676,499835,500879,499459,499162,499341,503696,507862,511686,512514,512872,515079,517199,519694,522986,531159,536470,542249,541417,542834,544579,550465,557111,561447,565595,569442,573604,574718,578821,582198,588224,590665,593263,593123,593326,594598,597856,600842,603559,607088,609035,611450,612687,619158,620906,624546,627502,633831,640149,642531,645861,648091,652663,655746,658407,658435,661947,663815,670559,673213,676387,677533,680138,683462,684856,686916,689139,691033,692162,693658,691187,689577
22191,VA,Woodbridge,138723,138847,139052,139458,139744,140166,140414,140675,140649,140832,141081,141378,141262,141178,141032,141006,141133,140948,141054,140970,141197,141028,140726,140458,140694,140969,141147,141041,140940,140901,140772,140892,141150,141483,141814,141870,142003,142157,142496,142995,143359,143969,144418,144923,145320,146008,146814,147860,148893,150110,151261,152058,152904,153593,154711,155422,156549,157468,158895,160589,162335,164008,165446,167605,170044,172638,175148,177802,180448,183254,185905,188342,190782,193492,196363,199008,201427,204151,206655,210053,213257,216708,219588,222459,225515,227925,231048,233727,236716,239316,242747,245513,248251,251065,255109,258866,262789,267518,273238,278995,284859,290508,296912,304099,311635,318728,324362,331538,338707,346341,351461,358680,366222,375250,382064,388421,395738,402791,409143,414627,419424,424027,427955,429779,431196,430945,432225,432067,429285,425315,422525,420556,418136,412406,407204,402950,400011,396872,390955,385017,379600,375970,370543,361600,351545,342719,333798,322600,308888,296215,286089,276573,267132,256263,247630,239145,232911,227949,225982,224022,223253,222565,222222,222457,222462,225848,228887,235443,238756,241678,241486,244450,248027,250111,250544,250030,252315,251669,249783,246198,245598,246295,245929,244812,242688,242892,243996,245640,245470,244259,244554,244745,246329,245931,248790,249715,251313,252069,252854,254212,254814,257851,261389,264602,265800,267380,268647,271727,274818,277231,279570,281630,284688,286212,286922,287615,288730,289538,289757,289344,288783,288744,288943,289209,288638,288614,287558,287326,287281,288674,290221,290429,291017,290541,290796,290268,290789,292157,294524,295924,295262,294364,293193,294759,295774,298445,299670,301118,302559,302013,301975,302668,305837,309282,311396,311934,311439,310591,310785,311797,312196,313956,315430,316459,318642,317649,318454,317694,320210,322554,324082,324479,325456,326207,325229,324415,323371,325581,327470,329162,329028,329073,330002,332315,333530,334628,337046,339387,340847,341290,341393,342687,344056,345387
23320,VA,Chesapeake,117777,117568,117877,118111,118340,118069,117707,117690,117913,118240,118358,118607,118898,119480,119406,119395,119610,120638,121827,122638,122883,123033,123232,123466,123885,124293,125001,125443,125579,125534,125612,125597,126079,126586,127634,128350,128625,128711,128701,129232,129824,130544,131066,131629,132104,132463,132601,132820,133329,134062,134827,135717,136489,137110,137423,137861,138247,138751,139366,140102,140835,141416,142041,141654,141213,140841,141468,142110,142657,143198,143757,144361,144887,145500,146143,147231,148415,149535,150194,150843,151782,152796,153925,155053,156493,157670,158829,159957,161042,161921,162806,163860,165331,167058,168924,170450,172058,173674,175852,178077,181103,184799,189321,193988,198245,202191,205556,209363,212905,217800,222185,227603,232780,238112,241926,245696,249276,253269,257554,261980,265778,268637,271825,274132,275618,276505,278477,279776,280316,279494,279051,279558,281693,283274,283607,284086,284021,284016,283137,283126,283662,284353,284580,283241,280798,278400,277153,275216,274525,273035,272264,270017,267790,266925,265704,265204,263572,262350,260242,258604,256769,255738,254671,254389,254143,252915,252369,251119,251087,250962,250954,251341,250810,250083,248276,246501,244975,243278,241839,240789,240030,238423,237140,234580,232598,230917,231021,231271,230649,230166,228687,227737,225872,225583,225466,226734,227818,228031,226497,225017,224443,224891,226001,226276,227344,227441,227376,227165,226720,227307,227888,229037,230154,230372,230256,230384,230448,230672,231020,230956,231799,232189,233763,233900,233765,233818,234801,235911,236237,236127,236090,236203,236020,235804,235508,236071,236746,237332,236447,235380,235291,235985,236447,236565,236952,237470,237672,237736,238028,238379,239499,240906,242272,243465,244416,245351,245489,245783,245972,246268,246279,246415,247006,247305,246903,246189,246093,246571,247530,248328,249265,250174,250860,251685,252741,253982,255156,255654,256080,256629,257235,257659,257965,258201,258882,259424,259494,259552,260027,261238,262305,263058,263724,264624
21740,MD,Hagerstown,98002,98123,98100,98145,98097,98162,98082,98070,98076,98153,98072,98083,98181,98303,98392,98410,98651,98895,99458,99824,100105,100232,100451,100620,100686,100766,100939,101161,101327,101228,101041,101038,101229,101577,102151,102678,103188,103471,103862,104363,104663,105130,105461,105906,106221,106470,106785,106880,107073,107106,107360,107772,108533,109219,109708,109880,109970,110047,109858,110466,111126,112208,112682,112608,112434,112487,113319,114277,115265,116161,117086,117548,117962,118427,119234,120200,121146,122040,122623,123224,123981,124944,126109,127017,127979,128929,130034,131337,132288,133122,133797,134762,135824,136862,138032,139573,141068,142605,144265,146269,148550,150939,153669,156330,159054,161766,164593,167582,171227,174518,177212,179270,181960,185477,188916,192444,195899,199619,203141,206475,209250,212291,215387,218481,220879,222534,224326,225831,226531,226535,225643,225109,223946,222234,220954,220456,220809,220037,218528,216871,215252,213798,211897,210029,208366,207795,206744,205084,202509,200472,197999,194183,191597,188686,188189,186009,183886,180251,177250,174222,170890,168062,166699,167108,166550,166695,165848,166185,166446,166660,166060,165083,164928,165289,165002,163972,161729,158484,155233,152240,149131,147056,145991,146488,146235,144229,140982,138404,138064,139313,139229,138865,139208,140050,140379,138843,137777,137689,139274,140446,141028,140742,141884,143184,144274,144348,144379,145526,147126,149024,150317,151461,151838,152104,152100,152103,151930,152170,152607,152739,152064,151351,150981,150945,151551,152147,152524,152820,152672,152914,153197,153936,154813,154839,154742,154148,153647,153323,153294,153163,153421,152970,152338,151370,151330,152600,153683,154953,155691,156184,156530,156854,157430,158725,160475,162292,162521,161903,161295,161510,161935,162631,163224,164514,165486,166053,166057,166194,167384,168113,168975,169171,170311,171332,172344,172220,171981,171451,171318,171434,171723,173020,174205,175446,175662,175871,176116,176823,177642,178689,179550,180063,180136,179701
