RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,1/31/1996,2/29/1996,3/31/1996,4/30/1996,5/31/1996,6/30/1996,7/31/1996,8/31/1996,9/30/1996,10/31/1996,11/30/1996,12/31/1996,1/31/1997,2/28/1997,3/31/1997,4/30/1997,5/31/1997,6/30/1997,7/31/1997,8/31/1997,9/30/1997,10/31/1997,11/30/1997,12/31/1997,1/31/1998,2/28/1998,3/31/1998,4/30/1998,5/31/1998,6/30/1998,7/31/1998,8/31/1998,9/30/1998,10/31/1998,11/30/1998,12/31/1998,1/31/1999,2/28/1999,3/31/1999,4/30/1999,5/31/1999,6/30/1999,7/31/1999,8/31/1999,9/30/1999,10/31/1999,11/30/1999,12/31/1999,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2001,2/28/2001,3/31/2001,4/30/2001,5/31/2001,6/30/2001,7/31/2001,8/31/2001,9/30/2001,10/31/2001,11/30/2001,12/31/2001,1/31/2002,2/28/2002,3/31/2002,4/30/2002,5/31/2002,6/30/2002,7/31/2002,8/31/2002,9/30/2002,10/31/2002,11/30/2002,12/31/2002,1/31/2003,2/28/2003,3/31/2003,4/30/2003,5/31/2003,6/30/2003,7/31/2003,8/31/2003,9/30/2003,10/31/2003,11/30/2003,12/31/2003,1/31/2004,2/29/2004,3/31/2004,4/30/2004,5/31/2004,6/30/2004,7/31/2004,8/31/2004,9/30/2004,10/31/2004,11/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020
246678,117,Princess Anne,Neighborhood,VA,VA,Virginia Beach,Virginia Beach-Norfolk-Newport News,Virginia Beach City,142284,142244,142225,142173,141870,141481,141068,140899,141141,141557,142074,142464,142493,142652,142711,143143,143277,143529,143905,144511,145505,146471,147608,148161,149337,150144,151036,151120,152517,153988,155452,155897,154611,153047,151131,150842,150604,150628,150758,151336,151672,152095,152461,153330,154620,156048,157361,158414,159275,160225,160967,161850,162325,162666,162858,162811,163264,163667,164599,165108,165734,166360,167069,167565,168023,168475,169425,170366,171340,172009,172706,173341,174204,175127,176190,177245,178353,179551,180704,182294,183960,186230,188332,190586,192622,194560,196466,198280,200149,202352,204427,206373,208306,210727,213831,217145,220555,224273,228040,233005,237770,242990,247813,253512,258614,263163,267283,272289,277769,282651,287351,291661,298118,303739,309680,314347,320713,326270,331507,335255,338471,341200,344372,346046,346794,346749,348715,350524,351064,351370,351737,351713,350722,351625,353095,355424,355231,356029,354872,354191,352803,352190,350465,349131,348487,347178,344284,340914,338796,336446,334474,332161,330627,329129,328215,326816,324870,322025,319750,317516,315834,314718,313806,313010,311705,310008,308895,308577,309325,310154,311038,311500,311879,311460,309372,307531,306008,305772,304841,303601,301098,298873,297501,297188,295786,293636,293227,293843,294232,293183,291837,291044,290238,290033,288904,288774,289812,292093,293436,292822,292811,293275,295162,296434,298815,300647,302579,302360,301968,300940,301568,302766,304006,304958,305457,305986,306788,307215,307729,308633,309072,310245,309373,309333,308911,309859,310202,310546,310010,311150,312192,312835,313342,313960,315710,316715,317688,317225,317287,318139,319244,318492,317349,317436,318287,318567,318977,320027,321178,322342,323172,323053,323302,324006,325722,327182,328737,329994,330244,329953,330087,330820,331539,332679,333524,334446,334542,334700,334629,335208,336405,337782,338254,338638,339349,340182,340062,340300,341024,341598,341386,341430,342005,342955,343938,344840,345646,346419,348069,349468,350819,352405,354812,356921
244707,162,Kempsville,Neighborhood,VA,VA,Virginia Beach,Virginia Beach-Norfolk-Newport News,Virginia Beach City,103260,103125,103088,102962,102781,102547,102461,102433,102458,102404,102359,102413,102600,102794,102900,102980,103363,103803,104154,104306,104490,104769,105171,105399,105563,105925,106287,106480,106337,106344,106280,106562,106801,107181,107476,107903,108188,108256,108414,108994,109763,110499,111252,111928,112490,112970,113284,113650,114087,114627,115141,115614,116084,116435,116677,116584,116712,116809,117292,117737,118238,118820,119374,119755,120005,120270,120925,121686,122422,122954,123381,123683,124139,124698,125405,126135,126855,127720,128393,129355,130390,131909,133334,134848,136228,137505,138728,139878,141158,142506,143844,145041,146216,147684,149741,152029,154467,157029,159640,162918,165957,169352,172591,176406,179758,182619,185194,188526,192103,195407,198526,201656,206327,210544,214904,218427,223186,227637,231827,234788,237186,239105,241386,242574,243297,243521,245028,246560,247308,247945,248295,248383,248120,249635,251651,254116,254697,255886,256048,256479,256327,256413,256021,255829,256102,255201,253192,250862,249633,248134,246729,244831,243382,242035,241277,240332,238982,237306,236027,234828,233700,232871,232070,231653,231075,230271,229509,229151,229210,229352,229298,229238,229149,228745,226828,224934,223159,222388,221340,220064,218099,216084,214711,213864,212383,210358,209769,210193,210426,209548,208198,207410,206658,206525,205770,205325,205596,206490,207162,206206,205724,205439,206363,206715,207972,208944,210193,210260,210029,209704,210283,211267,212079,212790,213267,213811,214232,214245,214232,214722,215192,215993,215161,214803,214204,214511,214309,214045,213542,214428,215377,216009,216243,216339,217107,217516,218349,218442,218946,219974,220920,220302,218970,218320,218333,218234,218525,219367,220086,220591,220763,220467,220553,220960,222175,223051,224132,225075,225427,225144,224926,225103,225628,226360,226758,227173,227368,227772,228230,228811,229585,230488,230791,231154,231284,231380,231018,231217,231805,232448,232218,232456,233066,234023,235076,236013,237053,238135,239698,240851,241738,242612,244171,245419
247145,223,Salem,Neighborhood,VA,VA,Virginia Beach,Virginia Beach-Norfolk-Newport News,Virginia Beach City,118271,117988,117906,117666,117522,117431,117363,117400,117371,117397,117464,117567,117838,118098,118317,118287,118442,118832,119520,119963,120394,120798,121321,121693,121742,122070,122349,123113,123404,123184,122475,122040,122002,121980,121803,121870,122169,122464,122738,122909,123264,123904,124695,125554,126148,126812,127390,128037,128647,129250,129854,130432,130965,131458,131907,131997,132181,132289,132754,133122,133582,134114,134700,135151,135575,135925,136583,137258,138024,138604,139171,139618,140238,140865,141567,142233,142914,143678,144437,145545,146780,148416,149955,151590,153065,154451,155820,157147,158485,160116,161638,163057,164322,166033,168266,170751,173285,176225,179255,183292,187076,191114,194837,199133,203035,206421,209726,213783,218319,222154,225754,229003,234323,239131,244224,248372,253882,258997,263536,266837,269455,271787,274525,275987,276514,276436,278088,279950,280818,281222,281512,281445,281037,282277,283986,286282,286488,287468,286897,286477,285539,285343,284468,283823,283475,282568,280452,278045,276629,274956,273461,271517,270103,268749,268075,266965,265415,262851,260808,258986,257745,256957,256280,255918,255352,254446,253793,253738,254422,255225,255956,256230,256429,255881,253728,251593,249736,248978,247731,246102,243612,241390,239753,239044,237372,235692,235745,236910,237198,236124,234577,234087,233564,233759,233261,233378,234257,235327,235665,234411,234111,234002,235128,235550,237052,238149,239469,239223,238937,238363,238864,239648,240571,241905,242909,243862,244697,244925,244992,245351,245638,246744,246308,246390,246015,246340,246244,246112,245403,246178,247026,247773,247969,248165,249157,249807,250563,250356,250743,251600,252695,252217,251366,251162,251875,252183,252924,254007,255066,255980,256452,256420,256658,257401,258968,260289,261654,262745,262833,262498,262188,262574,263084,264190,265031,265784,265852,266003,265971,266358,267273,268348,269241,269838,270623,270880,270476,270426,270959,271739,271887,272355,273116,274166,275030,275915,276733,277813,279528,281025,282333,283536,285388,286956
241514,276,Bayside,Neighborhood,VA,VA,Virginia Beach,Virginia Beach-Norfolk-Newport News,Virginia Beach City,105049,105172,105102,105396,105404,105385,105093,104950,104995,104968,104985,105047,104966,105017,105166,105502,106042,106117,106457,106511,106929,107321,107776,108121,108835,109219,109727,108996,108648,109329,110331,111599,111845,112332,112668,113068,113296,113495,113807,114711,115615,116190,116583,116896,117317,117786,118159,118726,119168,119857,120321,121106,121598,121980,122182,122246,122719,122920,123342,123472,123810,124214,124803,125230,125501,125637,126061,126483,126933,127237,127724,128199,128687,129114,129729,130294,131059,131876,132652,133736,134815,136445,137913,139657,141315,142926,144270,145701,147112,148782,150391,151843,153367,155032,157068,159094,161148,163570,166146,169385,172458,175739,178753,182191,185189,187842,190357,193621,197381,200537,203502,206272,210659,214732,218891,222250,226692,230898,235012,238076,240375,242518,244866,246152,246625,246632,248497,250746,252312,253435,254035,254290,254303,255717,257732,260229,261047,262500,262385,262322,261553,261317,260596,260015,259706,258540,256543,254441,253488,251981,250259,247988,246241,244794,243911,242816,241118,239043,237181,235449,233861,232552,231843,231477,231219,230202,229300,228859,229649,230340,230871,230805,230713,230416,228674,226937,225041,224429,223759,222933,220807,218810,217058,216212,214489,212556,211672,211851,211956,211173,209783,208853,208159,208050,207650,207518,207886,208706,209407,208764,208421,207796,208281,208142,208799,209103,209738,209371,209201,208663,209005,209330,209582,210113,210623,211328,211847,211669,211440,211701,211905,212657,211938,212083,211948,212577,212421,212294,211935,213360,214900,215886,216406,216645,217626,217946,218615,218463,218732,219298,219985,219196,217760,217188,217317,217306,217272,217885,218621,219229,219615,219660,220005,220488,221559,222134,222708,223418,223952,223876,223821,224094,224745,225337,225526,225795,225768,226078,226409,226840,227621,228525,228436,228244,227931,228412,228442,228834,229412,229970,229836,230077,230429,231107,232185,233290,234384,235016,236172,237083,237967,238862,240354,241557
121697,343,Columbia Heights,Neighborhood,DC,DC,Washington,Washington-Arlington-Alexandria,District of Columbia,130138,129463,129504,129253,129913,130443,130946,130834,130555,130131,130924,131336,132151,132658,133227,133862,133041,132115,130900,130395,130640,131262,131092,131500,131413,132044,132085,132401,132890,134183,136371,139551,141435,143310,143751,144416,144747,145986,147372,148528,150510,151975,152767,151911,152765,153406,154439,155003,156725,158299,160280,162097,164756,167256,170160,172722,174059,174802,175709,176455,176877,177537,178343,179663,180162,180822,181964,183753,186113,188507,192118,196863,202280,206711,210636,213994,216709,219954,222046,225967,229634,234676,238944,243967,247551,251749,254905,260065,266582,273716,280700,285562,289497,293170,296770,299775,304847,308781,314993,319551,325928,331385,338074,343339,350623,358787,367696,374073,377148,383557,391226,399978,404845,408893,413188,420866,427391,432559,435765,440710,446450,449049,449815,449912,450283,451106,450384,449838,448837,446634,444095,441183,439341,439726,440741,442120,444255,445212,448321,449645,451568,452812,455282,457185,457562,456321,454249,451885,449561,447225,444228,441152,439198,439020,436585,433811,433585,435188,435368,432268,428451,428502,427339,427013,424655,423939,426188,429174,431343,431265,431835,435498,439471,440984,440514,440104,439120,436630,433230,432577,431743,431784,430699,431216,432081,432585,433315,432436,433854,434878,437110,436232,438678,441103,446326,444942,443748,444123,450532,458704,466526,475016,481536,488539,487683,486619,485042,492595,501619,508602,511014,513987,516885,520047,523244,527260,536463,546282,555977,560721,563476,566220,569559,571234,571333,570256,570092,570674,570836,571154,571190,572662,574734,577735,581078,584961,589711,594520,597614,599425,599958,600555,602110,604794,607980,609685,609777,610121,610322,610365,613285,615984,621125,624707,628524,628647,627112,626214,628356,629763,632601,636405,640023,644177,645067,648763,646513,647005,648301,653486,658296,660836,662932,664536,665355,665371,664065,662412,664787,666617,669950,669132,668508,667497,667293,666980,666742,666859,668962,670185,671021,671589,670892,671362
245508,355,Mears Corner,Neighborhood,VA,VA,Virginia Beach,Virginia Beach-Norfolk-Newport News,Virginia Beach City,117909,117503,117305,116918,116635,116443,116368,116233,115974,115566,115421,115434,116023,116429,116831,116674,116903,117281,117894,118357,118747,119059,119335,119562,118967,119063,118975,119833,119902,119663,118814,118538,118946,120066,120807,121259,121767,121990,122442,122596,123138,123848,124912,125889,126471,126787,127036,127629,128412,129253,129973,130539,131037,131399,131635,131544,131673,131681,132161,132551,133139,133731,134279,134761,135239,135818,136630,137451,138221,138865,139374,139760,140290,140925,141804,142703,143628,144571,145420,146546,147714,149335,150961,152739,154349,155842,157247,158515,159799,161324,162866,164322,165800,167627,170011,172585,175210,178059,180895,184595,188010,191641,195209,199504,203452,206809,209841,213683,218014,221911,225674,229430,235173,240596,245877,250048,255170,259971,264452,267694,270211,272328,274906,276045,276428,276231,277920,279615,280695,281320,281723,281483,280933,282184,283999,286311,286586,287130,286205,285653,284638,284150,282797,281930,281556,280485,278048,275425,273692,272069,270589,268627,267115,265826,265506,264697,263217,260723,258749,257112,256008,255453,254816,254384,253493,252408,251548,251458,252041,252788,253429,253573,253582,252856,250682,248820,247135,246444,245139,243444,240897,238601,237028,236518,235246,233641,233530,234188,234585,233642,232677,232515,232494,232890,232320,231912,232140,233017,233607,232561,232149,231896,232461,232479,233468,234238,235268,235037,234796,234216,234401,235337,236178,237508,238506,239369,240249,240725,241568,242303,242894,243890,243727,243859,243825,244287,244257,244040,243210,243893,244462,245352,245678,245883,246435,246641,247308,247270,247870,248936,250040,249319,247996,247291,247554,247730,248619,250351,251621,252464,252524,252304,252538,253300,254894,255929,256955,257766,257533,256052,254543,253892,254135,255030,255505,255889,255609,255951,256410,257308,258348,259564,260532,261199,261990,262336,262285,262602,263373,263923,263650,263755,264646,265984,267193,268400,269269,270247,271691,272905,274030,275212,277050,278501
272744,397,Alexandria West,Neighborhood,VA,VA,Alexandria,Washington-Arlington-Alexandria,Alexandria City,179198,179168,179220,177890,176951,175806,175221,173525,171635,169943,168419,167576,166963,166581,165148,165323,164886,164508,163467,163966,165228,165976,167119,167045,167808,166963,167429,166731,166261,166273,166465,166818,166594,167173,166885,166984,165360,165303,164530,165181,166345,167580,168931,169657,169998,169539,169138,169395,170005,170792,171817,173098,174247,175369,175478,175854,176588,179161,181775,184513,186945,187832,189635,190949,193835,194766,196830,197938,199712,199914,200559,201831,204124,207534,209609,211234,210944,212046,212098,213560,214170,217047,219167,220038,219666,220641,222617,225187,226690,229656,232878,237102,240861,242962,245314,249047,252968,256629,259222,262591,266634,270101,275079,278501,281792,286116,292256,299404,307384,312411,319638,324710,333951,340296,347689,353050,361564,365716,367824,364354,361854,361473,361294,362130,360812,362150,359703,359016,355535,354303,351841,351867,351189,350648,347925,346653,343419,340059,337528,334003,330399,326286,323611,321342,319185,317379,314628,308559,302421,296555,293352,290767,288240,285965,284063,282059,278689,272701,269394,268410,269058,268517,265213,262091,259353,258312,257082,255650,253943,255325,255270,256532,255390,255574,255612,256486,257575,255889,254700,254109,255661,255283,253730,251211,250689,249575,248710,246877,245163,246398,246795,246460,245484,245194,246590,246111,245700,245509,246798,247969,249477,249777,250623,252070,252826,253493,254257,256751,258953,261310,263131,265750,267202,267940,268407,268924,271022,273155,274415,274941,275211,275405,274636,273689,273947,275061,275905,276045,274706,274305,274204,274140,273623,273167,274494,275922,276312,275899,275704,276206,277191,276189,275634,275227,276713,277164,276744,275238,274922,275027,275548,275720,275510,276764,277990,280011,280233,281634,281960,283348,284032,285007,285767,286110,287305,287171,286749,285987,286310,286722,287598,288200,287646,288042,289201,292026,293746,294712,296337,298480,301472,302524,302993,303577,306381,308412,310113,311051,312835,315963,319045,322057,324531,328662
121685,403,Capitol Hill,Neighborhood,DC,DC,Washington,Washington-Arlington-Alexandria,District of Columbia,167854,167162,166327,164483,162811,161027,160261,159791,159854,159553,159711,160162,161113,161997,163088,164678,166348,167791,168194,168171,168698,169777,170796,171578,172324,172894,173552,173934,174573,176645,178651,181215,182246,184171,185507,186951,187394,188250,189356,191600,194020,196586,199726,203372,206895,209570,212717,216399,221239,225554,228828,230982,233034,234327,235904,236895,238932,240300,242025,244678,248171,253109,259293,264793,269986,274618,279801,285462,291967,299438,305901,310973,314786,318205,320938,326331,333046,340605,346713,352146,356198,359461,364226,369897,375674,380207,383815,386461,388111,390764,393642,397356,400984,405807,410319,415945,423458,430395,438551,444846,452822,460603,469996,478110,487773,498328,508748,515315,517735,523393,529766,540172,547908,555878,562815,570674,577173,581817,586214,592472,599401,603781,607233,608201,609726,609656,609037,608646,607419,605413,602600,600227,600689,602977,605542,606680,607544,607817,609055,609935,610711,611320,611078,611190,610706,608216,605474,602722,600764,598330,595298,591687,590346,590207,589930,587286,584313,583353,582362,580751,576429,573978,571907,571904,571813,571679,574415,576854,579681,579290,579089,579881,584179,587990,589959,589645,586536,584096,580568,582340,581687,583656,581776,581451,579092,578069,579050,580223,582571,582987,583356,580496,582157,583922,591952,598187,605082,611280,617161,625622,634943,645813,656093,666033,669185,669996,667546,670621,677207,683435,688328,689701,690866,693337,695310,697651,703432,711315,720536,725353,726867,726731,727498,728665,729733,728950,730022,730819,731026,730873,730947,731175,731331,733370,737138,742964,747580,751893,753326,755087,757498,759703,762860,767019,772286,775472,776423,776569,777244,777091,780441,784732,791886,797479,802334,803539,802808,801162,801418,801878,804163,808551,811758,814530,811111,812996,807608,806844,806316,813970,822710,828764,834516,839591,844609,847269,850228,849468,855470,858907,864794,864318,864143,863939,863543,862857,862169,863254,866406,869918,871785,873922,874342,875858
276389,467,Indian River,Neighborhood,VA,VA,Chesapeake,Virginia Beach-Norfolk-Newport News,Chesapeake City,111989,110940,109680,107734,105254,102784,100119,98027,96349,94656,93230,92668,92950,93415,93772,93490,94193,95171,96787,98024,98732,99476,100101,99830,98697,97307,96576,96094,95604,95406,95356,95492,96110,97190,98330,99255,99873,99864,99514,99658,100384,101162,101543,101746,101950,101978,101842,101880,102417,103528,104419,105109,105224,105418,105438,105559,105699,105809,106229,106601,107074,107349,107837,107547,107448,107341,108181,109099,109674,110226,110627,111420,112077,112752,113262,114094,114961,115877,116496,116989,117867,118681,119688,120391,121437,122372,123573,124838,125991,126801,127421,128339,129491,130969,132461,133864,135209,136556,138023,139465,141288,143576,146358,149188,151952,154473,156767,159146,161508,164814,168126,172262,176451,180865,184366,187884,191013,194515,197863,201595,204724,207337,209592,210706,211563,212160,213903,214965,215682,215598,216045,217288,219566,221043,221718,223027,223710,224502,224307,224991,225783,226265,226361,225044,223141,221492,221275,220680,220841,220131,219875,218266,216565,215661,214563,214014,212906,211989,210024,207867,205654,204253,203149,202581,202131,201267,201139,200438,200413,200420,200233,200247,199262,198181,196111,194401,193027,191504,189889,188760,187596,185798,184571,182975,182122,181004,180783,180458,179813,179762,178730,177795,176003,175602,175177,175610,175882,175872,175206,174503,174083,173959,174602,175070,176387,176689,176952,176793,176699,177093,177247,177713,178530,178946,179141,179129,179487,180196,180939,181405,182137,182876,184237,185101,185443,185474,185960,186660,186449,185650,184750,184393,184077,183942,184142,184542,184611,184796,183939,183136,182889,183384,184169,184563,185142,185287,185009,184670,184934,185265,186449,187619,189213,190702,191696,192586,192601,193215,193698,194301,194729,195009,195526,195691,194706,193415,192911,193170,194040,194469,195118,196034,196594,197535,198449,199773,201181,202194,202928,203551,204187,204688,205316,205442,206076,206520,206780,206962,207596,208759,209896,210844,211707,212856
274264,470,Landmark-Van Dom,Neighborhood,VA,VA,Alexandria,Washington-Arlington-Alexandria,Alexandria City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296656,294963,292149,286111,279790,274485,271559,268903,266102,263564,261427,259443,256768,252462,250463,249755,251145,251168,249139,246734,244743,243725,242634,241532,240351,241603,241292,242164,240683,240641,239890,240181,240617,238813,237375,236811,238591,238565,236568,233339,231353,229020,227544,226043,225276,226755,227475,227021,226197,225847,227806,228217,229327,230359,232242,233226,234296,234732,235506,236779,237158,238028,238730,241057,242451,244337,245515,248005,249212,249745,249888,250327,252422,254214,255119,255163,255528,255644,255049,253853,253827,254636,255445,255780,254527,253992,253634,253697,252971,252404,253377,254547,254868,254251,254018,254190,255133,254367,254225,253669,255037,255117,254658,253293,253052,253421,253936,254373,254204,255399,256476,258475,258866,260428,260795,262133,262830,263758,264394,264522,265358,265039,264584,263969,264172,264438,265153,265432,264647,264658,265710,268115,269594,270233,271503,273213,275829,276830,277381,278144,280744,282642,284010,284773,286260,288996,291554,293912,295676,298742
